pmid,cancer_type
11786079,Kidney Cancer
11786394,Sarcoma
11786562,Skin Cancer
11786567,Bone Cancer
11786581,Breast Cancer
11786581,Ovarian Cancer
11786582,Osteosarcoma
11786589,Colorectal Cancer
11786589,Pancreatic Cancer
11786778,Colorectal Cancer
11790454,Prostate Cancer
11790454,Bone Cancer
11790564,Breast Cancer
11790564,Gastrointestinal Tumor
11790564,Leukemia
11790976,Leukemia
11790976,Acute Myeloid Leukemia (AML)
11792833,Breast Cancer
11792912,Prostate Cancer
11793437,Lymphoma
11796304,Prostate Cancer
11799530,Bone Cancer
11799530,Leukemia
11800340,Breast Cancer
11801310,Bone Cancer
11801310,Multiple Myeloma
11801543,Kidney Cancer
11801543,Liver Cancer
11801551,Colorectal Cancer
11801551,Liver Cancer
11801572,Cervical Cancer
11801572,Head and Neck Cancer
11801572,Lung Cancer
11801702,Prostate Cancer
11801702,Bone Cancer
11804743,Breast Cancer
11806975,Leukemia
11806975,Acute Myeloid Leukemia (AML)
11806985,Leukemia
11806985,Acute Myeloid Leukemia (AML)
11806985,Myeloproliferative Neoplasms
11807010,Leukemia
11807010,Chronic Lymphocytic Leukemia (CLL)
11807010,Lymphoma
11808936,Colorectal Cancer
11808936,Lung Cancer
11809705,Leukemia
11809705,Acute Myeloid Leukemia (AML)
11809705,Lung Cancer
11812088,Cervical Cancer
11812558,Colorectal Cancer
11814145,Lymphoma
11815394,Cervical Cancer
11815954,Breast Cancer
11815954,Lymphoma
11815964,Pancreatic Cancer
11815965,Bladder Cancer
11815977,Sarcoma
11815998,Rectal Cancer
11818484,Bone Cancer
11820781,Colorectal Cancer
11821445,Skin Cancer
11821445,Leukemia
11821445,Acute Myeloid Leukemia (AML)
11821445,Chronic Lymphocytic Leukemia (CLL)
11821445,Chronic Myelogenous Leukemia (CML)
11821445,Myeloproliferative Neoplasms
11821449,Endometrial Cancer
11821450,Ovarian Cancer
11821452,Breast Cancer
11821453,Breast Cancer
11821453,Cardiac Tumors
11821455,Breast Cancer
11821455,Leukemia
11821456,Breast Cancer
11821456,Leukemia
11823119,Bone Cancer
11823119,Kidney Cancer
11823119,Pancreatic Cancer
11823706,Head and Neck Cancer
11823969,Lymphoma
11826185,Sarcoma
11826185,Neuroblastoma
11826185,Ewing Sarcoma
11826187,Sarcoma
11826187,Melanoma
11826603,Gallbladder Cancer
11826603,Brain Tumor
11827870,Brain Tumor
11827870,Liver Cancer
11828354,Prostate Cancer
11828354,Rectal Cancer
11830312,Cardiac Tumors
11830312,Lung Cancer
11830525,Bone Cancer
11830525,Multiple Myeloma
11832716,Bladder Cancer
11832719,Prostate Cancer
11832771,Kidney Cancer
11834020,Lung Cancer
11834401,Prostate Cancer
11834954,Sarcoma
11834954,Skin Cancer
11836585,Retinoblastoma
11836585,Colorectal Cancer
11836586,Colorectal Cancer
11838648,Breast Cancer
11839235,Rectal Cancer
11839651,Prostate Cancer
11839653,Sarcoma
11839653,Gastrointestinal Tumor
11839653,Kidney Cancer
11839653,Liver Cancer
11839655,Prostate Cancer
11839675,Head and Neck Cancer
11839684,Breast Cancer
11839685,Liver Cancer
11839685,Lung Cancer
11841558,Skin Cancer
11841558,Lymphoma
11842392,Leukemia
11842392,Chronic Lymphocytic Leukemia (CLL)
11842394,Lymphoma
11844246,Brain Tumor
11844246,Melanoma
11844594,Lung Cancer
11844816,Prostate Cancer
11844821,Breast Cancer
11844822,Breast Cancer
11844822,Ovarian Cancer
11845768,Breast Cancer
11847002,Bone Cancer
11848629,Rectal Cancer
11848629,Colorectal Cancer
11850344,Lung Cancer
11850835,Breast Cancer
11852999,Breast Cancer
11854177,Breast Cancer
11854177,Thyroid Cancer
11854177,Colorectal Cancer
11854177,Endometrial Cancer
11854390,Leukemia
11854390,Lung Cancer
11854391,Lung Cancer
11855873,Ovarian Cancer
11855882,Endometrial Cancer
11855892,Cervical Cancer
11856154,Breast Cancer
11856157,Breast Cancer
11856157,Ovarian Cancer
11856595,Brain Tumor
11856696,Breast Cancer
11856795,Bone Cancer
11856795,Leukemia
11856795,Chronic Lymphocytic Leukemia (CLL)
11856795,Lymphoma
11856795,Multiple Myeloma
11857037,Prostate Cancer
11857037,Rectal Cancer
11857085,Lymphoma
11857295,Bone Cancer
11857295,Gastric Cancer
11857295,Kidney Cancer
11857295,Liver Cancer
11857300,Prostate Cancer
11857314,Sarcoma
11857316,Breast Cancer
11857386,Prostate Cancer
11859202,Prostate Cancer
11861270,Bone Cancer
11861270,Leukemia
11861270,Acute Lymphoblastic Leukemia (ALL)
11861270,Chronic Myelogenous Leukemia (CML)
11861369,Prostate Cancer
11861369,Bone Cancer
11861369,Brain Tumor
11861401,Colorectal Cancer
11862502,Rectal Cancer
11863228,Leukemia
11863228,Acute Myeloid Leukemia (AML)
11863228,Myeloproliferative Neoplasms
11866704,Head and Neck Cancer
11866704,Lung Cancer
11867505,Leukemia
11867505,Acute Lymphoblastic Leukemia (ALL)
11867721,Leukemia
11867721,Acute Lymphoblastic Leukemia (ALL)
11867721,Acute Myeloid Leukemia (AML)
11867721,Myeloproliferative Neoplasms
11870166,Ovarian Cancer
11870168,Breast Cancer
11870168,Ovarian Cancer
11870168,Fallopian Tube Cancer
11870175,Leukemia
11870175,Lymphoma
11870179,Lung Cancer
11872277,Brain Tumor
11872281,Lung Cancer
11872286,Breast Cancer
11872286,Ovarian Cancer
11872286,Sarcoma
11872286,Lung Cancer
11872294,Sarcoma
11873541,Cervical Cancer
11873541,Brain Tumor
11873541,Leukemia
11873541,Acute Lymphoblastic Leukemia (ALL)
11875173,Retinoblastoma
11875759,Breast Cancer
11875759,Thyroid Cancer
11875759,Endometrial Cancer
11877262,Leukemia
11877262,Chronic Myelogenous Leukemia (CML)
11877266,Lymphoma
11877293,Multiple Myeloma
11877311,Bone Cancer
11877311,Leukemia
11877765,Kidney Cancer
11877765,Liver Cancer
11877765,Lung Cancer
11877765,Lymphoma
11879565,Breast Cancer
11880182,Prostate Cancer
11881785,Wilms Tumor
11881785,Kidney Cancer
11881908,Breast Cancer
11881908,Ovarian Cancer
11881914,Breast Cancer
11882230,Head and Neck Cancer
11882761,Gallbladder Cancer
11882761,Liver Cancer
11883699,Melanoma
11883699,Skin Cancer
11883699,Head and Neck Cancer
11883699,Lung Cancer
11884322,Breast Cancer
11886337,Melanoma
11886337,Head and Neck Cancer
11888451,Melanoma
11888451,Head and Neck Cancer
11888875,Breast Cancer
11888876,Colorectal Cancer
11890716,Ovarian Cancer
11891941,Head and Neck Cancer
11894011,Head and Neck Cancer
11894011,Lung Cancer
11894012,Colorectal Cancer
11894012,Head and Neck Cancer
11894012,Lung Cancer
11894015,Breast Cancer
11894015,Lung Cancer
11894016,Lung Cancer
11894018,Breast Cancer
11894018,Prostate Cancer
11894018,Colorectal Cancer
11894018,Lung Cancer
11894019,Lung Cancer
11895757,Lymphoma
11895870,Colorectal Cancer
11895877,Rectal Cancer
11895877,Colorectal Cancer
11895878,Colorectal Cancer
11895894,Breast Cancer
11895896,Lung Cancer
11895897,Ovarian Cancer
11895897,Cardiac Tumors
11895897,Esophageal Cancer
11895897,Kidney Cancer
11895897,Lung Cancer
11895897,Lymphoma
11895899,Lymphoma
11895908,Prostate Cancer
11895908,Bone Cancer
11895923,Head and Neck Cancer
11896096,Colorectal Cancer
11896097,Colorectal Cancer
11896097,Liver Cancer
11896101,Liver Cancer
11896107,Breast Cancer
11896109,Head and Neck Cancer
11896111,Brain Tumor
11896112,Leukemia
11896112,Acute Lymphoblastic Leukemia (ALL)
11896119,Cardiac Tumors
11896119,Leukemia
11896119,Acute Lymphoblastic Leukemia (ALL)
11896622,Sarcoma
11896624,Colorectal Cancer
11899114,Leukemia
11899114,Acute Lymphoblastic Leukemia (ALL)
11899362,Breast Cancer
11899362,Lung Cancer
11900499,Testicular Cancer
11901001,Pituitary Tumor
11901151,Breast Cancer
11901478,Bone Cancer
11901478,Prostate Cancer
11901538,Kidney Cancer
11901913,Lung Cancer
11903469,Brain Tumor
11904316,Colorectal Cancer
11907462,Melanoma
11907463,Melanoma
11907465,Melanoma
11908714,Breast Cancer
11908714,Lymphoma
11909978,Breast Cancer
11909978,Prostate Cancer
11912139,Breast Cancer
11912144,Lung Cancer
11912152,Neuroblastoma
11912162,Bone Cancer
11912162,Prostate Cancer
11912162,Osteosarcoma
11912162,Gastrointestinal Tumor
11912165,Brain Tumor
11912386,Prostate Cancer
11914621,Sarcoma
11914621,Carcinoid Tumor
11914621,Endometrial Cancer
11914621,Gastrointestinal Tumor
11914621,Lung Cancer
11914621,Lymphoma
11914627,Sarcoma
11914627,Osteosarcoma
11914627,Neuroblastoma
11914627,Wilms Tumor
11914627,Ewing Sarcoma
11914627,Gastrointestinal Tumor
11914627,Leukemia
11914627,Acute Myeloid Leukemia (AML)
11914627,Chronic Myelogenous Leukemia (CML)
11914627,Lung Cancer
11914909,Breast Cancer
11914909,Cardiac Tumors
11916486,Cervical Cancer
11917287,Esophageal Cancer
11918080,Prostate Cancer
11918080,Bone Cancer
11918881,Breast Cancer
11919237,Breast Cancer
11920455,Breast Cancer
11920466,Prostate Cancer
11920502,Prostate Cancer
11920509,Bone Cancer
11920509,Leukemia
11920510,Bone Cancer
11920510,Sarcoma
11920510,Leukemia
11920510,Lymphoma
11920510,Multiple Myeloma
11920518,Colorectal Cancer
11920518,Head and Neck Cancer
11920518,Lung Cancer
11920650,Ovarian Cancer
11920650,Colorectal Cancer
11920650,Endometrial Cancer
11920650,Gastric Cancer
11920733,Retinoblastoma
11920733,Colorectal Cancer
11920777,Breast Cancer
11920786,Neuroblastoma
11920786,Bone Cancer
11920786,Sarcoma
11920786,Kidney Cancer
11920786,Leukemia
11920786,Lymphoma
11921013,Lymphoma
11921272,Leukemia
11921272,Acute Myeloid Leukemia (AML)
11921272,Myeloproliferative Neoplasms
11921273,Breast Cancer
11921273,Leukemia
11921273,Acute Myeloid Leukemia (AML)
11921273,Lymphoma
11921273,Myeloproliferative Neoplasms
11923128,Breast Cancer
11923129,Breast Cancer
11923132,Breast Cancer
11924911,Melanoma
11924912,Bone Cancer
11924912,Leukemia
11924912,Chronic Lymphocytic Leukemia (CLL)
11924912,Lymphoma
11924912,Multiple Myeloma
11925131,Cervical Cancer
11925131,Liver Cancer
11926890,Prostate Cancer
11926891,Ovarian Cancer
11927614,Colorectal Cancer
11927614,Liver Cancer
11927966,Testicular Cancer
11928795,Sarcoma
11929326,Breast Cancer
11929326,Bone Cancer
11929326,Endometrial Cancer
11929341,Breast Cancer
11929790,Leukemia
11929790,Acute Myeloid Leukemia (AML)
11929949,Breast Cancer
11930874,Liver Cancer
11932470,Neuroblastoma
11932905,Leukemia
11932905,Chronic Myelogenous Leukemia (CML)
11932906,Leukemia
11932906,Chronic Lymphocytic Leukemia (CLL)
11932906,Lymphoma
11932907,Liver Cancer
11932911,Sarcoma
11932912,Breast Cancer
11933076,Breast Cancer
11934346,Breast Cancer
11937011,Esophageal Cancer
11937012,Gastric Cancer
11937431,Breast Cancer
11937431,Prostate Cancer
11939869,Neuroblastoma
11942045,Colorectal Cancer
11942410,Lung Cancer
11943706,Sarcoma
11948101,Leukemia
11948101,Acute Myeloid Leukemia (AML)
11948101,Myeloproliferative Neoplasms
11948141,Bladder Cancer
11948274,Prostate Cancer
11948493,Breast Cancer
11948493,Thyroid Cancer
11948493,Melanoma
11948493,Endometrial Cancer
11948567,Prostate Cancer
11948567,Rectal Cancer
11951208,Colorectal Cancer
11951208,Liver Cancer
11952243,Sarcoma
11952243,Melanoma
11952243,Colorectal Cancer
11952243,Gastric Cancer
11952243,Pancreatic Cancer
11955607,Neuroblastoma
11955624,Prostate Cancer
11955651,Lung Cancer
11955727,Esophageal Cancer
11955727,Lung Cancer
11955738,Brain Tumor
11955742,Pancreatic Cancer
11956072,Prostate Cancer
11956076,Melanoma
11956076,Lung Cancer
11956257,Lung Cancer
11956260,Kidney Cancer
11956261,Prostate Cancer
11956266,Melanoma
11956267,Melanoma
11956269,Breast Cancer
11956271,Cardiac Tumors
11956279,Prostate Cancer
11956426,Skin Cancer
11956426,Kidney Cancer
11956645,Prostate Cancer
11957149,Sarcoma
11957149,Testicular Cancer
11958890,Melanoma
11958896,Skin Cancer
11960379,Breast Cancer
11960384,Retinoblastoma
11960384,Lung Cancer
11961058,Leukemia
11961199,Leukemia
11961204,Leukemia
11961204,Acute Myeloid Leukemia (AML)
11964319,Leukemia
11965231,Bone Cancer
11965231,Leukemia
11965234,Bone Cancer
11966385,Breast Cancer
11966385,Bladder Cancer
11966385,Endometrial Cancer
11967901,Breast Cancer
11967901,Lymphoma
11968000,Breast Cancer
11968084,Gastric Cancer
11970761,Skin Cancer
11970761,Lymphoma
11970763,Lymphoma
11970763,Testicular Cancer
11970766,Leukemia
11970766,Acute Myeloid Leukemia (AML)
11970966,Lung Cancer
11971195,Lung Cancer
11972090,Retinoblastoma
11972091,Osteosarcoma
11972091,Bone Cancer
11972091,Brain Tumor
11972091,Lung Cancer
11972094,Cardiac Tumors
11972400,Endometrial Cancer
11972406,Vaginal Cancer
11975672,Ovarian Cancer
11975947,Ovarian Cancer
11975947,Endometrial Cancer
11975969,Ovarian Cancer
11975969,Breast Cancer
11976731,Leukemia
11976731,Chronic Myelogenous Leukemia (CML)
11976831,Breast Cancer
11976831,Prostate Cancer
11976831,Lung Cancer
11979419,Gastric Cancer
11979552,Leukemia
11979552,Chronic Myelogenous Leukemia (CML)
11980673,Breast Cancer
11980673,Lung Cancer
11980999,Neuroblastoma
11981001,Leukemia
11981001,Acute Myeloid Leukemia (AML)
11981003,Breast Cancer
11981010,Kidney Cancer
11981011,Kidney Cancer
11981210,Thyroid Cancer
11981210,Rectal Cancer
11981219,Liver Cancer
11981269,Testicular Cancer
11981275,Brain Tumor
11981281,Head and Neck Cancer
11983866,Melanoma
11983866,Leukemia
11983866,Chronic Myelogenous Leukemia (CML)
11983866,Lung Cancer
11986023,Colorectal Cancer
11986023,Liver Cancer
11986185,Breast Cancer
11986185,Skin Cancer
11986192,Gastric Cancer
11986195,Melanoma
11986204,Skin Cancer
11986204,Leukemia
11986204,Chronic Myelogenous Leukemia (CML)
11986206,Leukemia
11986206,Chronic Myelogenous Leukemia (CML)
11986230,Bone Cancer
11986230,Multiple Myeloma
11986232,Lymphoma
11986238,Leukemia
11986238,Chronic Myelogenous Leukemia (CML)
11986403,Breast Cancer
11986403,Thyroid Cancer
11986403,Endometrial Cancer
11988246,Breast Cancer
11988408,Breast Cancer
11988838,Breast Cancer
11988838,Bone Cancer
11988838,Prostate Cancer
11990305,Wilms Tumor
11990694,Sarcoma
11990694,Lymphoma
11991243,Bone Cancer
11991243,Leukemia
11992049,Brain Tumor
11992049,Bladder Cancer
11992182,Skin Cancer
11992182,Lymphoma
11992182,Mycosis Fungoides
11992760,Brain Tumor
11992760,Leukemia
11992800,Pancreatic Cancer
11993784,Leukemia
11993784,Chronic Myelogenous Leukemia (CML)
11994589,Breast Cancer
11994980,Leukemia
11994980,Acute Myeloid Leukemia (AML)
11994983,Bone Cancer
11994983,Multiple Myeloma
11997559,Ovarian Cancer
11998794,Retinoblastoma
11998794,Cervical Cancer
11998794,Lymphoma
11999950,Breast Cancer
12000221,Breast Cancer
12000221,Gastrointestinal Tumor
12000860,Ovarian Cancer
12000866,Melanoma
12000869,Kidney Cancer
12000870,Melanoma
12000870,Kidney Cancer
12001121,Cardiac Tumors
12001121,Head and Neck Cancer
12002342,Breast Cancer
12002762,Leukemia
12002762,Acute Myeloid Leukemia (AML)
12003185,Melanoma
12003188,Head and Neck Cancer
12003192,Liver Cancer
12003198,Esophageal Cancer
12004173,Head and Neck Cancer
12004205,Rectal Cancer
12005396,Brain Tumor
12006508,Melanoma
12006510,Prostate Cancer
12006510,Retinoblastoma
12006520,Head and Neck Cancer
12006520,Lung Cancer
12006521,Breast Cancer
12006523,Breast Cancer
12006525,Brain Tumor
12006531,Prostate Cancer
12006532,Breast Cancer
12006539,Head and Neck Cancer
12006541,Neuroblastoma
12006546,Prostate Cancer
12006754,Cervical Cancer
12006924,Anal Cancer
12007194,Lung Cancer
12007222,Breast Cancer
12007941,Brain Tumor
12007958,Head and Neck Cancer
12008081,Bone Cancer
12008081,Leukemia
12008081,Acute Lymphoblastic Leukemia (ALL)
12010785,Leukemia
12010785,Acute Myeloid Leukemia (AML)
12010810,Bone Cancer
12010810,Gastrointestinal Tumor
12010810,Multiple Myeloma
12010830,Leukemia
12010861,Breast Cancer
12010861,Skin Cancer
12010861,Gastric Cancer
12011120,Bone Cancer
12011120,Leukemia
12011120,Myeloproliferative Neoplasms
12011121,Leukemia
12011121,Acute Myeloid Leukemia (AML)
12011121,Myeloproliferative Neoplasms
12011122,Lymphoma
12011129,Wilms Tumor
12011133,Pancreatic Cancer
12011222,Lymphoma
12011226,Liver Cancer
12011912,Breast Cancer
12012293,Prostate Cancer
12012301,Prostate Cancer
12012302,Prostate Cancer
12012316,Leukemia
12013286,Gastric Cancer
12014418,Colorectal Cancer
12014635,Ovarian Cancer
12014635,Mesothelioma
12014810,Leukemia
12014810,Acute Lymphoblastic Leukemia (ALL)
12015755,Breast Cancer
12015755,Bone Cancer
12015757,Adrenocortical Cancer
12015769,Sarcoma
12015769,Gastrointestinal Tumor
12018454,Colorectal Cancer
12018929,Prostate Cancer
12019370,Mesothelioma
12020170,Cardiac Tumors
12020395,Breast Cancer
12021307,Melanoma
12023792,Colorectal Cancer
12023792,Gastric Cancer
12023792,Pancreatic Cancer
12023956,Breast Cancer
12023992,Ovarian Cancer
12023992,Breast Cancer
12023993,Breast Cancer
12023993,Ovarian Cancer
12026238,Brain Tumor
12026238,Cervical Cancer
12026238,Leukemia
12026238,Acute Lymphoblastic Leukemia (ALL)
12029434,Breast Cancer
12029434,Colorectal Cancer
12029434,Lung Cancer
12029548,Kidney Cancer
12029548,Liver Cancer
12031359,Kidney Cancer
12031374,Prostate Cancer
12031380,Bone Cancer
12031380,Prostate Cancer
12031864,Prostate Cancer
12035031,Colorectal Cancer
12035031,Liver Cancer
12035835,Lymphoma
12036407,Breast Cancer
12036407,Cardiac Tumors
12036407,Endometrial Cancer
12036413,Breast Cancer
12036413,Colorectal Cancer
12036427,Prostate Cancer
12036427,Breast Cancer
12036427,Colorectal Cancer
12036427,Head and Neck Cancer
12036427,Lung Cancer
12036687,Bone Cancer
12036687,Skin Cancer
12036851,Brain Tumor
12036851,Thyroid Cancer
12036851,Sarcoma
12036851,Leukemia
12036851,Acute Lymphoblastic Leukemia (ALL)
12036851,Acute Myeloid Leukemia (AML)
12036851,Lymphoma
12036859,Bone Cancer
12036859,Lymphoma
12036860,Leukemia
12036860,Acute Myeloid Leukemia (AML)
12036860,Myeloproliferative Neoplasms
12036884,Bone Cancer
12036884,Gastrointestinal Tumor
12036884,Multiple Myeloma
12036895,Bone Cancer
12036895,Leukemia
12036895,Multiple Myeloma
12036900,Leukemia
12036900,Acute Myeloid Leukemia (AML)
12036906,Kidney Cancer
12036916,Colorectal Cancer
12036925,Breast Cancer
12036931,Leukemia
12036931,Chronic Myelogenous Leukemia (CML)
12038950,Multiple Myeloma
12039921,Melanoma
12039921,Brain Tumor
12039922,Breast Cancer
12039922,Bladder Cancer
12039922,Mesothelioma
12039922,Colorectal Cancer
12039922,Liver Cancer
12039922,Lung Cancer
12039924,Lung Cancer
12039924,Pancreatic Cancer
12039933,Breast Cancer
12039933,Ovarian Cancer
12040279,Breast Cancer
12040281,Breast Cancer
12040281,Sarcoma
12040286,Lung Cancer
12040287,Bone Cancer
12040289,Melanoma
12040289,Skin Cancer
12040289,Liver Cancer
12040289,Lung Cancer
12040295,Melanoma
12041516,Bone Cancer
12041516,Sarcoma
12042700,Bone Cancer
12042700,Leukemia
12042703,Leukemia
12042704,Leukemia
12042710,Leukemia
12042710,Acute Lymphoblastic Leukemia (ALL)
12042984,Bone Cancer
12042984,Cardiac Tumors
12042984,Kidney Cancer
12042984,Lymphoma
12044015,Prostate Cancer
12044239,Sarcoma
12044239,Gastrointestinal Tumor
12044239,Leukemia
12044239,Chronic Myelogenous Leukemia (CML)
12044242,Lung Cancer
12044243,Lung Cancer
12045065,Breast Cancer
12047134,Bone Cancer
12047134,Leukemia
12047134,Acute Myeloid Leukemia (AML)
12048272,Breast Cancer
12048272,Ovarian Cancer
12048274,Breast Cancer
12048275,Breast Cancer
12048667,Bone Cancer
12049533,Parathyroid Cancer
12049533,Pituitary Tumor
12049533,Pancreatic Cancer
12049536,Parathyroid Cancer
12049536,Thyroid Cancer
12050101,Breast Cancer
12051873,Ovarian Cancer
12051874,Ovarian Cancer
12052255,Breast Cancer
12052756,Breast Cancer
12052763,Esophageal Cancer
12053861,Colorectal Cancer
12054425,Lymphoma
12055390,Lung Cancer
12056962,Melanoma
12057038,Breast Cancer
12057044,Breast Cancer
12057046,Breast Cancer
12057073,Cervical Cancer
12057073,Vaginal Cancer
12057079,Breast Cancer
12057081,Breast Cancer
12057089,Lung Cancer
12057863,Breast Cancer
12057863,Lung Cancer
12060117,Lymphoma
12060130,Bone Cancer
12060497,Breast Cancer
12060604,Leukemia
12060604,Lymphoma
12060605,Prostate Cancer
12060605,Endometrial Cancer
12060629,Bladder Cancer
12060634,Bone Cancer
12060634,Leukemia
12061726,Brain Tumor
12061815,Leukemia
12063831,Pancreatic Cancer
12064365,Bone Cancer
12064365,Lung Cancer
12065559,Endometrial Cancer
12065561,Esophageal Cancer
12065566,Breast Cancer
12065566,Prostate Cancer
12065566,Colorectal Cancer
12065566,Lung Cancer
12065795,Lung Cancer
12065796,Lung Cancer
12065797,Breast Cancer
12065797,Skin Cancer
12065798,Breast Cancer
12067983,Thyroid Cancer
12067995,Gastric Cancer
12068383,Melanoma
12068383,Kidney Cancer
12068383,Leukemia
12070006,Bone Cancer
12070006,Leukemia
12070006,Acute Lymphoblastic Leukemia (ALL)
12070008,Bone Cancer
12070008,Leukemia
12070008,Acute Lymphoblastic Leukemia (ALL)
12070010,Leukemia
12070010,Acute Lymphoblastic Leukemia (ALL)
12070033,Sarcoma
12070033,Leukemia
12072546,Sarcoma
12072546,Lymphoma
12072547,Colorectal Cancer
12072633,Colorectal Cancer
12074326,Head and Neck Cancer
12074326,Lung Cancer
12074327,Colorectal Cancer
12074764,Lymphoma
12075703,Brain Tumor
12075703,Lung Cancer
12075915,Prostate Cancer
12076905,Liver Cancer
12077755,Liver Cancer
12079306,Ovarian Cancer
12079306,Colorectal Cancer
12082544,Bladder Cancer
12082544,Breast Cancer
12082548,Breast Cancer
12083634,Breast Cancer
12084194,Bone Cancer
12084194,Prostate Cancer
12084350,Brain Tumor
12084350,Lung Cancer
12084714,Breast Cancer
12084714,Prostate Cancer
12084714,Bladder Cancer
12085234,Melanoma
12085234,Lung Cancer
12086670,Melanoma
12086872,Leukemia
12086872,Acute Lymphoblastic Leukemia (ALL)
12086882,Leukemia
12086889,Leukemia
12086889,Acute Myeloid Leukemia (AML)
12086890,Leukemia
12087137,Breast Cancer
12088116,Breast Cancer
12089225,Leukemia
12089225,Acute Lymphoblastic Leukemia (ALL)
12089232,Breast Cancer
12089232,Prostate Cancer
12089232,Colorectal Cancer
12089232,Lung Cancer
12091329,Bone Cancer
12091333,Bone Cancer
12091333,Leukemia
12091333,Chronic Myelogenous Leukemia (CML)
12091357,Leukemia
12091357,Acute Lymphoblastic Leukemia (ALL)
12091357,Lymphoma
12091368,Sarcoma
12091368,Bone Cancer
12091368,Gastrointestinal Tumor
12091368,Multiple Myeloma
12091817,Lung Cancer
12093945,Leukemia
12093945,Lymphoma
12094374,Lymphoma
12094374,Testicular Cancer
12094541,Pancreatic Cancer
12095553,Breast Cancer
12095911,Breast Cancer
12095968,Sarcoma
12095969,Breast Cancer
12095969,Skin Cancer
12095976,Melanoma
12096084,Ovarian Cancer
12096085,Lung Cancer
12097257,Breast Cancer
12097260,Bone Cancer
12097269,Breast Cancer
12097269,Prostate Cancer
12097284,Bladder Cancer
12097284,Melanoma
12097284,Prostate Cancer
12097284,Ovarian Cancer
12097284,Brain Tumor
12097284,Lung Cancer
12097302,Breast Cancer
12099190,Breast Cancer
12099190,Ovarian Cancer
12099577,Prostate Cancer
12099577,Bone Cancer
12100142,Bone Cancer
12100142,Myeloproliferative Neoplasms
12100691,Skin Cancer
12100691,Leukemia
12100691,Hairy Cell Leukemia
12100691,Lymphoma
12101412,Prostate Cancer
12101412,Brain Tumor
12101424,Leukemia
12101426,Liver Cancer
12102578,Breast Cancer
12102578,Colorectal Cancer
12102578,Esophageal Cancer
12102578,Lung Cancer
12103372,Sarcoma
12103372,Cardiac Tumors
12103372,Kidney Cancer
12107213,Brain Tumor
12107213,Leukemia
12108893,Kidney Cancer
12108895,Breast Cancer
12108896,Breast Cancer
12108897,Lung Cancer
12108899,Prostate Cancer
12108901,Head and Neck Cancer
12108902,Gastric Cancer
12108918,Lung Cancer
12109342,Bladder Cancer
12109342,Prostate Cancer
12109342,Liver Cancer
12109342,Lung Cancer
12109356,Prostate Cancer
12109359,Prostate Cancer
12109359,Cardiac Tumors
12109799,Esophageal Cancer
12109799,Gastric Cancer
12109799,Lung Cancer
12109800,Bone Cancer
12109800,Gastric Cancer
12109800,Kidney Cancer
12109800,Liver Cancer
12109804,Cervical Cancer
12111105,Breast Cancer
12111105,Lung Cancer
12111110,Kidney Cancer
12111110,Leukemia
12111110,Chronic Lymphocytic Leukemia (CLL)
12111119,Colorectal Cancer
12111120,Melanoma
